"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
230,170348795,3,50,10,0,9
232,170349168,3,50,10,1,5
234,170357485,3,50,10,1,13
236,170364531,3,50,10,2,9
238,170377952,3,50,10,3,5
240,170384792,3,50,10,3,13
242,170397848,3,50,20,0,9
244,170398106,3,50,20,1,5
246,170413751,3,50,20,1,13
248,170426243,3,50,20,2,9
250,170438484,3,50,20,3,5
252,170454925,3,50,20,3,13
254,170466060,3,50,30,0,9
256,170466386,3,50,30,1,5
258,170488014,3,50,30,1,13
260,170503257,3,50,30,2,9
262,170529282,3,50,30,3,5
264,170545523,3,50,30,3,13
266,170560003,3,50,40,0,9
268,170560295,3,50,40,1,5
270,170580064,3,50,40,1,13
272,170604271,3,50,40,2,9
274,170636213,3,50,40,3,5
276,170661407,3,50,40,3,13
278,170686314,3,50,50,0,9
280,170686570,3,50,50,1,5
282,170719183,3,50,50,1,13
284,170771803,3,50,50,2,9
286,170809034,3,50,50,3,5
288,170834014,3,50,50,3,13
290,170860525,4,50,0,0,9
292,170861180,4,50,0,1,5
294,170865290,4,50,0,1,13
296,170873126,4,50,0,2,9
298,170883082,4,50,0,3,5
300,170887717,4,50,0,3,13
302,170894353,4,50,10,0,9
304,170894892,4,50,10,1,5
306,170908514,4,50,10,1,13
308,170933784,4,50,10,2,9
310,170961716,4,50,10,3,5
312,170978119,4,50,10,3,13
314,171001382,4,50,20,0,9
316,171001861,4,50,20,1,5
318,171022014,4,50,20,1,13
320,171068096,4,50,20,2,9
322,171095143,4,50,20,3,5
324,171119498,4,50,20,3,13
326,171159738,4,50,30,0,9
328,171160301,4,50,30,1,5
330,171186604,4,50,30,1,13
332,171227744,4,50,30,2,9
334,171271757,4,50,30,3,5
336,171297639,4,50,30,3,13
338,171341043,4,50,40,0,9
340,171341524,4,50,40,1,5
342,171384217,4,50,40,1,13
344,171453808,4,50,40,2,9
346,171520857,4,50,40,3,5
348,171562186,4,50,40,3,13
350,171619926,4,50,50,0,9
352,171620543,4,50,50,1,5
354,171672072,4,50,50,1,13
356,171738819,4,50,50,2,9
358,171817455,4,50,50,3,5
360,171873979,4,50,50,3,13
362,171947325,5,50,0,0,9
364,171948085,5,50,0,1,5
366,171954784,5,50,0,1,13
368,171963829,5,50,0,2,9
370,171978653,5,50,0,3,5
372,171983992,5,50,0,3,13
374,171991938,5,50,10,0,9
376,171992490,5,50,10,1,5
378,172007990,5,50,10,1,13
380,172041434,5,50,10,2,9
382,172073244,5,50,10,3,5
384,172088069,5,50,10,3,13
386,172120566,5,50,20,0,9
388,172121130,5,50,20,1,5
390,172149874,5,50,20,1,13
392,172196881,5,50,20,2,9
394,172232745,5,50,20,3,5
396,172263593,5,50,20,3,13
398,172322285,5,50,30,0,9
400,172323070,5,50,30,1,5
402,172359757,5,50,30,1,13
404,172425448,5,50,30,2,9
406,172475962,5,50,30,3,5
408,172523848,5,50,30,3,13
410,172601945,5,50,40,0,9
412,172602604,5,50,40,1,5
414,172666210,5,50,40,1,13
416,172773663,5,50,40,2,9
418,172867298,5,50,40,3,5
420,172918590,5,50,40,3,13
422,173045029,5,50,50,0,9
424,173045714,5,50,50,1,5
426,173102106,5,50,50,1,13
428,173213472,5,50,50,2,9
430,173332897,5,50,50,3,5
432,173389129,5,50,50,3,13
