"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
204,-592969565,2,50,40,3,13
206,-592949653,2,50,50,0,9
208,-592949329,2,50,50,1,5
210,-592921874,2,50,50,1,13
212,-592895223,2,50,50,2,9
214,-592877497,2,50,50,3,5
216,-592857655,2,50,50,3,13
218,-592829981,3,50,0,0,9
220,-592829804,3,50,0,1,5
222,-592827463,3,50,0,1,13
224,-592825339,3,50,0,2,9
226,-592821298,3,50,0,3,5
228,-592818599,3,50,0,3,13
230,-592817010,3,50,10,0,9
232,-592816615,3,50,10,1,5
234,-592809576,3,50,10,1,13
236,-592801212,3,50,10,2,9
238,-592785511,3,50,10,3,5
240,-592775173,3,50,10,3,13
242,-592767439,3,50,20,0,9
244,-592767177,3,50,20,1,5
246,-592754316,3,50,20,1,13
248,-592743322,3,50,20,2,9
250,-592727423,3,50,20,3,5
252,-592708861,3,50,20,3,13
254,-592692413,3,50,30,0,9
256,-592692199,3,50,30,1,5
258,-592681559,3,50,30,1,13
260,-592662851,3,50,30,2,9
262,-592635914,3,50,30,3,5
264,-592610149,3,50,30,3,13
266,-592597331,3,50,40,0,9
268,-592596894,3,50,40,1,5
270,-592568964,3,50,40,1,13
272,-592543101,3,50,40,2,9
274,-592510380,3,50,40,3,5
276,-592480057,3,50,40,3,13
278,-592456895,3,50,50,0,9
280,-592456536,3,50,50,1,5
282,-592426634,3,50,50,1,13
284,-592398517,3,50,50,2,9
286,-592365538,3,50,50,3,5
288,-592339888,3,50,50,3,13
290,-592309041,4,50,0,0,9
292,-592308425,4,50,0,1,5
294,-592303953,4,50,0,1,13
296,-592297158,4,50,0,2,9
298,-592287099,4,50,0,3,5
300,-592282642,4,50,0,3,13
302,-592276878,4,50,10,0,9
304,-592276226,4,50,10,1,5
306,-592263202,4,50,10,1,13
308,-592242938,4,50,10,2,9
310,-592219705,4,50,10,3,5
312,-592205877,4,50,10,3,13
314,-592181718,4,50,20,0,9
316,-592181146,4,50,20,1,5
318,-592158711,4,50,20,1,13
320,-592126330,4,50,20,2,9
322,-592097165,4,50,20,3,5
324,-592073493,4,50,20,3,13
326,-592028393,4,50,30,0,9
328,-592027861,4,50,30,1,5
330,-592000204,4,50,30,1,13
332,-591953112,4,50,30,2,9
334,-591914054,4,50,30,3,5
336,-591880631,4,50,30,3,13
338,-591836820,4,50,40,0,9
340,-591836366,4,50,40,1,5
342,-591792811,4,50,40,1,13
344,-591714897,4,50,40,2,9
346,-591647754,4,50,40,3,5
348,-591595018,4,50,40,3,13
350,-591488013,4,50,50,0,9
352,-591487518,4,50,50,1,5
354,-591435842,4,50,50,1,13
356,-591341993,4,50,50,2,9
358,-591211336,4,50,50,3,5
360,-591133924,4,50,50,3,13
362,-591046981,5,50,0,0,9
364,-591046154,5,50,0,1,5
366,-591038099,5,50,0,1,13
368,-591023333,5,50,0,2,9
370,-591001048,5,50,0,3,5
372,-590993267,5,50,0,3,13
374,-590978239,5,50,10,0,9
376,-590977511,5,50,10,1,5
378,-590950347,5,50,10,1,13
380,-590911696,5,50,10,2,9
382,-590859311,5,50,10,3,5
384,-590834525,5,50,10,3,13
386,-590791270,5,50,20,0,9
388,-590790337,5,50,20,1,5
390,-590760643,5,50,20,1,13
392,-590688942,5,50,20,2,9
394,-590631710,5,50,20,3,5
396,-590596950,5,50,20,3,13
398,-590550543,5,50,30,0,9
400,-590549818,5,50,30,1,5
402,-590517996,5,50,30,1,13
404,-590448997,5,50,30,2,9
406,-590367838,5,50,30,3,5
408,-590314674,5,50,30,3,13
410,-590223275,5,50,40,0,9
412,-590222578,5,50,40,1,5
414,-590166881,5,50,40,1,13
416,-590054650,5,50,40,2,9
418,-589983156,5,50,40,3,5
420,-589907763,5,50,40,3,13
422,-589795363,5,50,50,0,9
424,-589794613,5,50,50,1,5
426,-589733826,5,50,50,1,13
428,-589630419,5,50,50,2,9
430,-589527681,5,50,50,3,5
432,-589480576,5,50,50,3,13
